Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0607211, 0.00408131, 0.0132426, 0.0400736, 7086, 67723, 4.36453e+06
0.0104025, 0.00272289, 0.00767883, 0.00448954, 7807, 71253, 569121
0.0103804, 0.00328202, 0.00709748, 0.00411455, 7651, 69870, 506883
0.00945115, 0.00254804, 0.00690241, 0.003869, 7659, 68605, 450918
0.0115704, 0.00296902, 0.00860016, 0.0046765, 7803, 67691, 426810
0.0080142, 0.00259363, 0.00541973, 0.00287214, 7266, 65218, 345876
0.0085864, 0.00278815, 0.00579716, 0.00309728, 7505, 65906, 360513
0.0781735, 0.00349897, 0.016518, 0.052934, 7509, 67970, 5.11545e+06
0.0123049, 0.0030754, 0.00922854, 0.00549938, 7733, 69381, 655713
0.0109053, 0.00257091, 0.00833359, 0.00504974, 7790, 68373, 529269
0.00885841, 0.00240631, 0.00645129, 0.00351538, 7104, 64123, 404424
0.00853892, 0.00241693, 0.00612121, 0.00333714, 7125, 64099, 407376
0.00851693, 0.00269517, 0.00582079, 0.0030835, 7319, 65514, 362727
0.00751856, 0.00255387, 0.00496376, 0.00257973, 7533, 67804, 313896
0.00716755, 0.00245829, 0.00470776, 0.0022345, 7030, 61831, 245631
0.0772575, 0.00403482, 0.0160684, 0.0521678, 7081, 65477, 5.3799e+06
0.0111865, 0.00255596, 0.00862969, 0.00515838, 7167, 67778, 644766
0.00918488, 0.00239684, 0.00678718, 0.00392929, 7081, 64852, 493353
0.00957435, 0.00302232, 0.00655116, 0.00373141, 7645, 69064, 469368
0.00960123, 0.00257811, 0.00702234, 0.00386174, 7594, 68482, 398151
0.00914348, 0.00263306, 0.00650968, 0.00315412, 7762, 69579, 366540
0.00724246, 0.00266678, 0.0045747, 0.00221265, 7363, 65766, 263466
0.0870579, 0.00337379, 0.0188501, 0.0555685, 7836, 73890, 5.63795e+06
0.0129343, 0.00259116, 0.0103425, 0.00628184, 7655, 70865, 612540
0.0115378, 0.00326966, 0.00826705, 0.00475537, 7798, 71816, 589047
0.010534, 0.00268183, 0.00785058, 0.0043616, 7893, 70455, 491016
0.0113514, 0.00269674, 0.00865385, 0.00468018, 7364, 68587, 445506
0.00939615, 0.00260203, 0.00679341, 0.00354301, 7667, 70030, 401226
0.0105084, 0.00307321, 0.00743443, 0.00389811, 7779, 70670, 430377
0.00934923, 0.00259712, 0.00675132, 0.00353539, 7762, 70202, 407253
0.0792261, 0.00759596, 0.0123841, 0.0488284, 7723, 71716, 4.40524e+06
0.0114941, 0.00272047, 0.00877291, 0.00479191, 7583, 70652, 534312
0.00983295, 0.00295848, 0.00687343, 0.00386719, 7617, 69017, 470475
0.0103819, 0.00389692, 0.00648402, 0.00336176, 7707, 69979, 363711
0.00777643, 0.00250037, 0.00527524, 0.00273578, 7236, 67274, 323613
0.00798222, 0.00319732, 0.00478406, 0.0022622, 7820, 70697, 252027
0.0128504, 0.00416447, 0.00868446, 0.00426215, 7680, 67444, 288558
0.0682762, 0.00722842, 0.0175381, 0.0429455, 7771, 73371, 4.79749e+06
0.0113416, 0.00272527, 0.00861556, 0.005127, 7768, 71126, 622380
0.00972906, 0.00265815, 0.00706986, 0.00401455, 7490, 69078, 487818
0.00931183, 0.00256791, 0.00674299, 0.00374379, 7393, 69050, 439725
