fsm, mapping, replan, sfc, mpc, df, total, 
1.881e-06, 0.0175332, 0, 0, 0.000288144, 2.101e-06, 0.000292473, 
3.044e-06, 0, 0, 0, 0.000345503, 2.2139e-05, 0.000371046, 
2.595e-06, 0, 0, 0, 0.000388358, 2.561e-06, 0.000393895, 
3.23e-06, 0, 0, 0, 0.000586218, 2.157e-06, 0.000592064, 
3.027e-06, 0, 0, 0, 0.000430088, 2.268e-06, 0.000435735, 
1.965e-06, 0, 0, 0, 0.000355772, 1.507e-06, 0.000359512, 
3.099e-06, 0, 0, 0, 0.000361862, 2.287e-06, 0.000367653, 
1.773e-06, 0, 0, 0, 0.000271398, 2.522e-06, 0.000276306, 
1.594e-06, 0.00568378, 0, 0, 0.000281053, 1.695e-06, 0.000284518, 
1.595e-06, 0, 0, 0, 0.000286516, 1.27e-06, 0.000289587, 
2.614e-06, 0, 0, 0, 0.000269127, 2.472e-06, 0.000274463, 
3.159e-06, 0, 0, 0, 0.000422299, 3.207e-06, 0.00042931, 
2.205e-06, 0, 0, 0, 0.000375941, 1.783e-06, 0.000380465, 
2.121e-06, 0, 0, 0, 0.00031785, 1.871e-06, 0.000322046, 
2.521e-06, 0, 0, 0, 0.000379781, 2.068e-06, 0.000384615, 
1.762e-06, 0, 0, 0, 0.000349303, 1.356e-06, 0.000352667, 
1.784e-06, 0, 0, 0, 0.000354093, 1.959e-06, 0.000358202, 
2.875e-06, 0, 0, 0, 0.000369963, 2.169e-06, 0.000375351, 
2.759e-06, 0, 0, 0, 0.000267386, 1.634e-06, 0.000272536, 
2.265e-06, 0.0178639, 0, 0, 0.000271253, 1.496e-06, 0.000275227, 
3.149e-06, 0, 0, 0, 0.00026552, 2.222e-06, 0.000271153, 
4.067e-06, 0, 0, 0, 0.000465996, 1.2103e-05, 0.000482792, 
2.599e-06, 0, 0, 0, 0.000403502, 2.167e-06, 0.000408632, 
3.752e-06, 0, 0, 0, 0.000568832, 2.473e-06, 0.000575593, 
2.541e-06, 0, 0, 0, 0.000527563, 2.557e-06, 0.000533542, 
2.116e-06, 0, 0, 0, 0.00045334, 1.742e-06, 0.000457487, 
2.783e-06, 0, 0, 0, 0.000362778, 2.144e-06, 0.000368074, 
2.328e-06, 0, 0, 0, 0.000267825, 1.378e-06, 0.000271704, 
3.13e-06, 0, 0, 0, 0.000271777, 2.041e-06, 0.000277324, 
2.166e-06, 0, 0, 0, 0.000257825, 1.382e-06, 0.000261569, 
2.63e-06, 0.0172823, 0, 0, 0.0002913, 2.171e-06, 0.000296547, 
3.022e-06, 0, 0, 0, 0.000392839, 2.001e-06, 0.000398226, 
4.714e-06, 0, 0, 0, 0.00070975, 3.138e-06, 0.0007183, 
3.49e-06, 0, 0, 0, 0.000582678, 3.015e-06, 0.000589857, 
3.266e-06, 0, 0, 0, 0.000509288, 2.84e-06, 0.000515845, 
2.423e-06, 0, 0, 0, 0.000478664, 1.838e-06, 0.000483321, 
2.031e-06, 0, 0, 0, 0.000340226, 1.158e-06, 0.000343644, 
2.103e-06, 0, 0, 0, 0.000256837, 9.129e-06, 0.000268292, 
1.699e-06, 0.00589805, 0, 0, 0.00026371, 1.885e-06, 0.000267544, 
1.415e-06, 0, 0, 0, 0.000270418, 1.785e-06, 0.000273817, 
1.553e-06, 0, 0, 0, 0.000257244, 1.663e-06, 0.000260648, 
2.267e-06, 0, 0, 0, 0.000398264, 2.742e-06, 0.000403715, 
2.391e-06, 0, 0, 0, 0.0004909, 2.44e-06, 0.000496048, 
3.873e-06, 0, 0, 0, 0.000547975, 2.94e-06, 0.000555167, 
3.318e-06, 0, 0, 0, 0.000565977, 2.372e-06, 0.000572136, 
2.433e-06, 0, 0, 0, 0.000425892, 1.392e-06, 0.000430016, 
2.338e-06, 0, 0, 0, 0.000373021, 2.213e-06, 0.000377847, 
2.255e-06, 0, 0, 0, 0.00025816, 1.387e-06, 0.000261971, 
2.759e-06, 0, 0, 0, 0.00027471, 1.3215e-05, 0.000291051, 
1.984e-06, 0, 0, 0, 0.000295567, 2.269e-06, 0.000300221, 
1.946e-06, 0.01945, 0, 0, 0.000254874, 1.459e-06, 0.000258457, 
3.961e-06, 0, 0, 0, 0.000651225, 3.832e-06, 0.000659416, 
2.26e-06, 0, 0, 0, 0.000279064, 2.166e-06, 0.000283837, 
3.212e-06, 0, 0, 0, 0.000546455, 2.009e-06, 0.000552181, 
5.081e-06, 0, 0, 0, 0.000538693, 3.368e-06, 0.00054784, 
3.135e-06, 0, 0, 0, 0.000523596, 2.114e-06, 0.000529186, 
1.999e-06, 0, 0, 0, 0.000346556, 1.488e-06, 0.000350277, 
1.896e-06, 0, 0, 0, 0.000346343, 1.216e-06, 0.000349676, 
2.597e-06, 0, 0, 0, 0.000270977, 2.03e-06, 0.000276101, 
2.319e-06, 0, 0, 0, 0.000295673, 2.277e-06, 0.000300664, 
1.338e-06, 0.016147, 0, 0, 0.000260578, 1.214e-06, 0.0002633, 
4.343e-06, 0, 0, 0, 0.000258205, 4.4923e-05, 0.000307706, 
3.195e-06, 0, 0, 0, 0.00039254, 2.168e-06, 0.000398259, 
3.701e-06, 0, 0, 0, 0.000665322, 2.623e-06, 0.000672089, 
3.169e-06, 0, 0, 0, 0.000458158, 2.93e-06, 0.00046493, 
2.179e-06, 0, 0, 0, 0.000366299, 1.495e-06, 0.000370623, 
2.706e-06, 0, 0, 0, 0.000377994, 2.456e-06, 0.00038353, 
1.785e-06, 0, 0, 0, 0.000269691, 2.208e-06, 0.000273895, 
1.879e-06, 0, 0, 0, 0.000283242, 1.568e-06, 0.000286941, 
1.647e-06, 0, 0, 0, 0.000249057, 1.495e-06, 0.000252387, 
1.2243e-05, 0.016811, 0, 0, 0.000270977, 1.65e-06, 0.000285057, 
3.014e-06, 0, 0, 0, 0.000406849, 2.713e-06, 0.000413031, 
4.146e-06, 0, 0, 0, 0.000496601, 5.447e-06, 0.000507028, 
2.346e-06, 0, 0, 0, 0.000480135, 2.863e-06, 0.000485566, 
4.139e-06, 0, 0, 0, 0.000379522, 2.342e-06, 0.000386325, 
4.48e-06, 0, 0, 0, 0.000452748, 3.874e-06, 0.000461703, 
3.376e-06, 0, 0, 0, 0.000353422, 0.000157904, 0.000515408, 
1.487e-06, 0, 0, 0, 0.000252337, 1.621e-06, 0.00025569, 
2.476e-06, 0, 0, 0, 0.000280097, 4.438e-05, 0.000327405, 
1.705e-06, 0.00500883, 0, 0, 0.000277957, 9.297e-06, 0.000289124, 
1.786e-06, 0, 0, 0, 0.000276486, 1.1954e-05, 0.000290766, 
2.333e-06, 0, 0, 0, 0.000391021, 2.3e-06, 0.000395978, 
2.517e-06, 0, 0, 0, 0.000386635, 1.926e-06, 0.000391438, 
1.77e-06, 0, 0, 0, 0.000256855, 1.744e-06, 0.000260633, 
2.49e-06, 0, 0, 0, 0.000364787, 1.799e-06, 0.000369318, 
1.997e-06, 0, 0, 0, 0.000347038, 1.229e-06, 0.000350497, 
2.414e-06, 0, 0, 0, 0.000364095, 2.196e-06, 0.000369088, 
1.908e-06, 0, 0, 0, 0.000259637, 1.6523e-05, 0.000278609, 
1.373e-06, 0, 0, 0, 0.00024553, 1.362e-06, 0.00024844, 
1.458e-06, 0.0157659, 0, 0, 0.000247718, 1.493e-06, 0.000250906, 
1.871e-06, 0, 0, 0, 0.000258114, 1.658e-06, 0.000262283, 
2.302e-06, 0, 0, 0, 0.000245398, 1.0076e-05, 0.000258063, 
2.505e-06, 0, 0, 0, 0.000374884, 1.778e-06, 0.000379534, 
4.848e-06, 0, 0, 0, 0.00236375, 3.847e-06, 0.00237321, 
3.652e-06, 0, 0, 0, 0.000441503, 2.742e-06, 0.000448189, 
2.793e-06, 0, 0, 0, 0.000423083, 1.594e-06, 0.000427776, 
2.277e-06, 0, 0, 0, 0.000484053, 1.959e-06, 0.00048872, 
2.166e-06, 0, 0, 0, 0.000354441, 1.478e-06, 0.000358346, 
2.556e-06, 0, 0, 0, 0.000266699, 2.0022e-05, 0.000289902, 
2.645e-06, 0, 0, 0, 0.000391604, 2.307e-06, 0.000396941, 
1.748e-06, 0.0159823, 0, 0, 0.000255884, 1.1198e-05, 0.000269058, 
2.871e-06, 0, 0, 0, 0.000392614, 2.082e-06, 0.000397933, 
3.027e-06, 0, 0, 0, 0.000386852, 2.03e-06, 0.000392311, 
3.018e-06, 0, 0, 0, 0.000396014, 2.632e-06, 0.000402112, 
2.043e-06, 0, 0, 0, 0.00028973, 2.102e-06, 0.00029416, 
1.799e-06, 0, 0, 0, 0.000359839, 1.612e-06, 0.000363515, 
2.463e-06, 0, 0, 0, 0.000287461, 7.67e-06, 0.000298075, 
2.363e-06, 0.00493657, 0, 0, 0.000266007, 2.315e-06, 0.000270951, 
1.229e-06, 0, 0, 0, 0.000234187, 9.87e-07, 0.000236561, 
1.878e-06, 0, 0, 0, 0.000279914, 1.151e-06, 0.000283129, 
1.929e-06, 0, 0, 0, 0.000257111, 9.224e-06, 0.000268696, 
2.814e-06, 0, 0, 0, 0.000408318, 2.155e-06, 0.000413801, 
2.343e-06, 0, 0, 0, 0.000359225, 1.8e-06, 0.000363768, 
2.965e-06, 0, 0, 0, 0.000439904, 2.006e-06, 0.000445246, 
4.561e-06, 0, 0, 0, 0.00042066, 1.951e-06, 0.000427621, 
2.769e-06, 0, 0, 0, 0.000482941, 2.444e-06, 0.000488736, 
2.639e-06, 0, 0, 0, 0.000394851, 1.756e-06, 0.000399675, 
1.776e-06, 0, 0, 0, 0.000290052, 1.592e-06, 0.000293667, 
2.924e-06, 0, 0, 0, 0.000283527, 1.67e-06, 0.000288435, 
3.023e-06, 0, 0, 0, 0.000319039, 1.728e-06, 0.000324132, 
2.092e-06, 0.0158301, 0, 0, 0.000269108, 1.353e-06, 0.000272777, 
